Who is Ryan Baker?, Ryan Baker is a professor at Penn. You can find more information about him on his webpage: https://learninganalytics.upenn.edu/ryanbaker/.,,,,,,,,,,,,,,,,,,,,,,,,
How will assignments be graded?,"Each assignment is assessed based on different grading criteria. For detailed information, pleae reach out to the TAs.",,,,,,,,,,,,,,,,,,,,,,,,
Who will grade my assignment?,"The TAs will grade the assignment, and Ryan will conduct the final review before the grades are released.",,,,,,,,,,,,,,,,,,,,,,,,
How can I see my grade?,Grades will be sent to you via email.,,,,,,,,,,,,,,,,,,,,,,,,
I will miss the next class. What should I do? ,You can attend the other section or email Ryan in advance. We will find a way to accommodate you.,,,,,,,,,,,,,,,,,,,,,,,,
"If I missed the class, will I lose my participation grade?","No, but you might lose your participation grade unless you contact the professor and explain why you missed the class.",,,,,,,,,,,,,,,,,,,,,,,,
Do I need to know programming to take this class?,"Yes, knowledge in Python is required.",,,,,,,,,,,,,,,,,,,,,,,,
Will you teach Python in class?,"No, we will not be teaching Python in class. However, you will have the opportunity to learn and practice it through basic assignments.",,,,,,,,,,,,,,,,,,,,,,,,
Will you teach proragmming in class?,"No, we will not be teaching Python in class. However, you will have the opportunity to learn and practice it through basic assignments.",,,,,,,,,,,,,,,,,,,,,,,,
Do I need to know statistics to take this class?,This is not a statistics class but EDM methods will be compared to statistics throughout the class. Statistics background is recommended but not required.,,,,,,,,,,,,,,,,,,,,,,,,
What knowledge or class is required before taking this class?,"Python, EDUC7667, or instructor permission. Proficiency in Python is essential",,,,,,,,,,,,,,,,,,,,,,,,
What are the prerequisite of this course?,"Python, EDUC7667, or instructor permission. Proficiency in Python is essential",,,,,,,,,,,,,,,,,,,,,,,,
What course do I need to take before this one?,EDUC7667,,,,,,,,,,,,,,,,,,,,,,,,
What is the weightage of basic assignments in the final grade calculation?,6 of 8 Basic Assignments weight up to 36% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
What is the percentage value of creative assignments in the overall grading scheme?,3 of 4 Creative Assignments weight up to 39% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
What is the percentage value of asynchronous participation in the overall grading scheme?,Asynchronous participation weight up to 24% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
"If I complete all basic and creative assignments, what will be the total percentage for those components?",3 of 4 Creative Assignments weight up to 39% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
What is the breakdown of grades?,"Breakdown of grades: 6 of 8 Basic Assignments (up to 36%), 3 of 4 Creative Assignments (up to 39%), Asynchronous participation (up to 24%), and 1 bonus point.",,,,,,,,,,,,,,,,,,,,,,,,
How many basic assignments do I need to complete to earn the maximum grade in that category?,Please choose 6 out of 8 to complete: 3 from the first 4 (e.g. Basic Homework 1-4) and 3 from the second 4 (e.g. Basic Homework 5-8),,,,,,,,,,,,,,,,,,,,,,,,
How many creative assignments do I need to complete to earn the maximum grade in that category?,Please choose 3 out of 4 assigned creative homework.,,,,,,,,,,,,,,,,,,,,,,,,
Are there any bonus points available in this course?,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Can you explain the grading weightage for each assignments?,"Breakdown of grades: 6 of 8 Basic Assignments (up to 36%), 3 of 4 Creative Assignments (up to 39%), Asynchronous participation (up to 24%), and 1 bonus point.",,,,,,,,,,,,,,,,,,,,,,,,
What is the breakdown of the grading criteria for the course?,"Breakdown of grades: 6 of 8 Basic Assignments (up to 36%), 3 of 4 Creative Assignments (up to 39%), Asynchronous participation (up to 24%), and 1 bonus point.",,,,,,,,,,,,,,,,,,,,,,,,
How much weightage do the Basic Assignments carry in the final grade?,6 of 8 Basic Assignments weight up to 36% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
What percentage does Creative Assignments contribute to the overall grade?,3 of 4 Creative Assignments weight up to 39% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
What is the maximum number of points I can earn from the Basic Assignments?,6 of 8 Basic Assignments weight up to 36% of the final grade,,,,,,,,,,,,,,,,,,,,,,,,
When is the course evaluation due?,Pleas refer to Penn GSE academic calendar for for information.,,,,,,,,,,,,,,,,,,,,,,,,
Can you explain the grading scheme and how it is calculated?,"Breakdown of grades: 6 of 8 Basic Assignments (up to 36%), 3 of 4 Creative Assignments (up to 39%), Asynchronous participation (up to 24%), and 1 bonus point.",,,,,,,,,,,,,,,,,,,,,,,,
Are there any prerequisites for this course or recommended background knowledge?,"Python, EDUC7667, or instructor permission. Proficiency in Python is essential",,,,,,,,,,,,,,,,,,,,,,,,
Are there any review sessions or study groups organized for the course?,"No, but you are welcome to post on the discussion forum to see if others are interested in forming one with you.",,,,,,,,,,,,,,,,,,,,,,,,
Can you provide guidance on how to format and structure assignments?,Please reach out to the Teaching Assistants (TAs) for personalized help at any time,,,,,,,,,,,,,,,,,,,,,,,,
"Are there any required software or tools for the course, and how can I obtain them?",Please reach out to the Teaching Assistants (TAs) for personalized help at any time,,,,,,,,,,,,,,,,,,,,,,,,
"Are there any study resources, such as practice problems or sample exams, available?",Please reach out to the Teaching Assistants (TAs) for personalized help at any time,,,,,,,,,,,,,,,,,,,,,,,,
Can I get clarification on the course objectives and learning outcomes?,"To cover core methods in educational data mining, teach execution in standard software, understand limitations, and know when and why to use these methods.",,,,,,,,,,,,,,,,,,,,,,,,
How can I access the recorded lectures if I miss a class?,"Course recordings will not be available, but you are welcome to attend the other section.",,,,,,,,,,,,,,,,,,,,,,,,
What programming language do I need to know for Basic Assignments?,Python,,,,,,,,,,,,,,,,,,,,,,,,
Can I get assistance with setting up and using course-related software or tools?,Sure! Please reach out to the Teaching Assistants (TAs) for personalized help at any time,,,,,,,,,,,,,,,,,,,,,,,,
What is gaming the system?,Exploiting rules or loopholes to achieve an advantage or desired outcome.,,,,,,,,,,,,,,,,,,,,,,,,
